STATE,POP,SAMP,POV_P,PRECISION,AGE,BPL_BIN,EDUC_CAT_GRAD_ED,EDUC_CAT_HIGH_SCH_ED,EDUC_CAT_UNDERGRAD_ED,EMPSTAT_N_LABOR,EMPSTAT_UNEMPLOYED,HCOVANY,MARST_BIN,MIGRATE_BIN,NCHILD,SEX_MALE
AK,548915,4855,0.12906734193818714,0.7727272727272727,141,0.0,0.0,73.0,1.0,158,68,65.0,92,14.0,71,17.0
AL,3739375,37844,0.16940504763496575,0.5405405405405406,119,23.0,11.0,7.0,17.0,206,54,109.0,80,0.0,57,17.0
AR,2274247,23412,0.17243113874614324,0.6377952755905512,169,17.0,7.0,15.0,8.0,166,58,54.0,99,0.0,89,18.0
AZ,5313394,53344,0.14931341436377576,0.753968253968254,190,27.0,25.0,16.0,12.0,146,56,48.0,81,1.0,88,10.0
CA,29763281,290206,0.13326071141148718,0.7845303867403315,175,25.0,17.0,12.0,17.0,119,60,54.0,132,0.0,85,4.0
CO,4306534,43372,0.11760362277413809,0.5982532751091703,180,16.0,6.0,52.0,8.0,192,63,59.0,91,0.0,29,4.0
CT,2818819,28696,0.11648566296736328,0.75,214,18.0,20.0,5.0,16.0,172,87,25.0,96,0.0,45,2.0
DC,561836,5567,0.1904327953352936,0.3860294117647059,301,3.0,12.0,79.0,0.0,101,57,10.0,91,14.0,22,10.0
DE,747027,7216,0.14094537412971686,0.7321428571428571,187,21.0,33.0,8.0,37.0,158,77,23.0,90,2.0,63,1.0
FL,16553612,162256,0.14190014843890264,0.7458379578246392,117,20.0,10.0,16.0,18.0,178,52,85.0,110,7.0,77,10.0
GA,7826655,77389,0.1566262982078551,0.7748447204968945,143,0.0,13.0,17.0,20.0,207,44,91.0,84,0.0,70,11.0
HI,1111416,11308,0.12201371943538693,0.6666666666666666,244,21.0,0.0,31.0,23.0,123,31,29.0,104,2.0,82,10.0
IA,2396617,25254,0.13074179145019835,0.5739644970414202,232,16.0,1.0,16.0,4.0,182,59,13.0,95,5.0,69,8.0
ID,1264626,12320,0.14071037603212333,0.6386554621848739,178,6.0,0.0,9.0,5.0,191,23,95.0,80,22.0,68,23.0
IL,9788016,98909,0.13593531109879672,0.7531380753138075,161,26.0,16.0,16.0,8.0,164,83,55.0,90,12.0,64,5.0
IN,5047144,52016,0.1492182509553918,0.7424749163879598,218,34.0,1.0,5.0,5.0,178,51,30.0,90,0.0,84,4.0
KS,2186856,22629,0.13935439736315514,0.6830065359477124,191,0.0,19.0,5.0,0.0,162,56,106.0,96,1.0,61,3.0
KY,3408781,35356,0.18585206852537609,0.6566186107470511,213,6.0,21.0,21.0,24.0,166,80,18.0,82,0.0,54,15.0
LA,3537366,34478,0.19978198467447247,0.6615969581749049,178,2.0,21.0,5.0,26.0,172,51,73.0,80,2.0,71,19.0
MA,5421634,56078,0.12998074012373392,0.7469879518072289,200,86.0,13.0,2.0,22.0,175,61,10.0,95,18.0,18,0.0
MD,4652347,46929,0.10899552419456245,0.8064516129032258,152,23.0,23.0,15.0,15.0,135,44,100.0,115,1.0,68,9.0
ME,1075214,10358,0.1329391172361967,0.684,208,40.0,0.0,9.0,11.0,159,62,90.0,88,0.0,22,11.0
MI,7716592,78527,0.1467242274828059,0.6104702750665484,190,13.0,17.0,16.0,12.0,167,76,23.0,94,0.0,81,11.0
MN,4230290,42623,0.11018795401733687,0.7583892617449665,172,69.0,15.0,2.0,25.0,179,34,30.0,99,5.0,70,0.0
MO,4692249,48357,0.14653932474598003,0.7478991596638656,187,6.0,0.0,10.0,12.0,178,22,111.0,90,3.0,75,6.0
MS,2242777,22493,0.20387760352455905,0.7686274509803922,142,0.0,16.0,9.0,19.0,179,60,103.0,79,0.0,80,13.0
